0,0
70,1
72,0
550,1
552,0
1021,1
1023,0
1499,1
1500,0
1925,1
1927,0
2340,1
2342,0
2822,1
2824,0
3259,1
3261,0
3668,1
3669,0
4155,1
4156,0
4630,1
4632,0
5072,1
5073,0
5595,1
5596,0
6074,1
6075,0
6511,1
6513,0
6992,1
6994,0
7475,1
7476,0
7921,1
7923,0
8409,1
8411,0
8892,1
8894,0
9326,1
9328,0
9794,1
9795,0
10274,1
10275,0
10713,1
10715,0
11199,1
11200,0
11682,1
11683,0
12146,1
12147,0
12635,1
12637,0
13114,1
13116,0
13530,1
13532,0
13993,1
13994,0
14439,1
14440,0
14849,1
14850,0
15277,1
15278,0
15722,1
15724,0
16112,1
16114,0
16513,1
16515,0
16948,1
16950,0
17353,1
17354,0
17740,1
17742,0
18195,1
18196,0
18621,1
18623,0
19027,1
19028,0
19493,1
19495,0
19916,1
19918,0
20319,1
20320,0
20755,1
20756,0
21166,1
21167,0
21555,1
21556,0
22001,1
22003,0
22457,1
22459,0
22874,1
22876,0
23323,1
23324,0
23760,1
23762,0
24175,1
24176,0
24618,1
24620,0
25062,1
25064,0
25466,1
25468,0
25914,1
25916,0
26351,1
26352,0
26747,1
26748,0
27121,1
27122,0
27477,1
27478,0
27841,1
27842,0
28201,1
28203,0
28541,1
28543,0
28910,1
28911,0
29290,1
29291,0
29660,1
29662,0
30067,1
30068,0
30545,1
30547,0
31001,1
31003,0
31472,1
31473,0
31934,1
31936,0
32366,1
32367,0
32800,1
32801,0
33258,1
33260,0
33675,1
33676,0
34102,1
34103,0
34547,1
34549,0
34953,1
34955,0
35374,1
35376,0
35878,1
35880,0
36305,1
36307,0
36713,1
36714,0
37218,1
37220,0
37644,1
37645,0
38032,1
38034,0
38395,1
38396,0
38744,1
38746,0
39104,1
39106,0
39481,1
39483,0
39844,1
39846,0
40227,1
40229,0
40626,1
40627,0
41018,1
41020,0
41512,1
41514,0
42010,1
42012,0
42492,1
42494,0
42986,1
42987,0
43421,1
43422,0
43865,1
43866,0
44332,1
44333,0
44752,1
44754,0
45143,1
45144,0
45561,1
45563,0
46009,1
46010,0
46430,1
46431,0
46875,1
46876,0
47333,1
47334,0
47701,1
47702,0
48066,1
48068,0
48434,1
48436,0
48814,1
48815,0
49339,1
49341,0
49808,1
49810,0
50289,1
50291,0
50767,1
50769,0
51212,1
51214,0
51683,1
51685,0
52163,1
52164,0
52588,1
52589,0
53078,1
53080,0
53546,1
53548,0
53960,1
53962,0
54399,1
54401,0
54868,1
54870,0
55298,1
55300,0
55715,1
55717,0
56186,1
56187,0
56567,1
56568,0
56948,1
56949,0
57343,1
57345,0
57762,1
57764,0
58305,1
58307,0
58810,1
58812,0
59268,1
59269,0
59748,1
59749,0
60203,1
60204,0
60640,1
60641,0
61109,1
61111,0
61539,1
61540,0
61935,1
61937,0
62359,1
62361,0
62774,1
62775,0
63169,1
63170,0
